task_id,category,output_bytes,valid_structure,code
V2_024,set_wait_halt,118,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW);
  delay(200);
}"
V2_025,set_wait_halt,118,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW);
  delay(500);
}"
V2_026,wait_read,160,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(100);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_027,wait_read,160,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(200);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_028,wait_read,160,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(500);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_029,wait_read,161,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(1000);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_030,wait_read,146,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(100);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_031,wait_read,146,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(200);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_032,wait_read,146,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(500);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_033,wait_read,147,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(1000);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_034,wait_read,154,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(100);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_035,wait_read,154,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(200);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_036,wait_read,154,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(500);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_037,wait_read,155,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  delay(1000);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_038,set_wait_read,179,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(50);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_039,set_wait_read,180,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(100);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_040,set_wait_read,180,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(200);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_041,set_wait_read,180,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(500);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_042,set_wait_read,201,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(50);
  int sensorValue = analogRead(A0); // 读取 water_sensor
  Serial.println(sensorValue);
}"
V2_043,set_wait_read,179,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(100);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_044,set_wait_read,179,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(200);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_045,set_wait_read,179,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(500);
  int sensorValue = analogRead(A0);
  Serial.println(sensorValue);
}"
V2_046,set_wait_read,165,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(50);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_047,set_wait_read,166,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(100);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_048,set_wait_read,166,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(200);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_049,set_wait_read,166,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(500);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_050,set_wait_read,164,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(50);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_051,set_wait_read,165,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(100);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_052,set_wait_read,165,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(200);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_053,set_wait_read,165,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(500);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_054,set_wait_read,173,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(50);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_055,set_wait_read,174,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(100);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_056,set_wait_read,174,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(200);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_057,set_wait_read,174,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(500);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_058,set_wait_read,198,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(50);
  int humidity = analogRead(A2); // 读取 humidity_sensor
  Serial.println(humidity);
}"
V2_059,set_wait_read,173,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(100);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_060,set_wait_read,173,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(200);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_061,set_wait_read,173,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, LOW); // 关闭 relay1
  delay(500);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_062,set_wait_read,202,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(50);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_063,set_wait_read,203,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(100);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_064,set_wait_read,203,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(200);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_065,set_wait_read,203,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(500);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_066,set_wait_read,201,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(50);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_067,set_wait_read,202,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(100);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_068,set_wait_read,202,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(200);
  int water_level = analogRead(A0);
  Serial.println(water_level);
}"
V2_069,set_wait_read,246,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(500); // 等待 500 毫秒
  int water_level = analogRead(A0); // 读取 water_sensor
  "
V2_070,set_wait_read,188,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(50);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_071,set_wait_read,189,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(100);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_072,set_wait_read,189,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(200);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_073,set_wait_read,189,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(500);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_074,set_wait_read,216,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(50);
  int temp = analogRead(A1); // 读取 temperature_sensor
  Serial.println("
V2_075,set_wait_read,252,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(100); // 等待 100 毫秒
  int temperature = analogRead(A1); // 读取 temperature_sen"
V2_076,set_wait_read,188,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(200);
  int temp = analogRead(A1);
  Serial.println(temp);
}"
V2_077,set_wait_read,252,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(500); // 等待 500 毫秒
  int temperature = analogRead(A1); // 读取 temperature_sen"
V2_078,set_wait_read,196,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(50);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_079,set_wait_read,197,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(100);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_080,set_wait_read,197,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(200);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_081,set_wait_read,197,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(500);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_082,set_wait_read,195,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(50);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_083,set_wait_read,196,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(100);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_084,set_wait_read,196,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(200);
  int humidity = analogRead(A2);
  Serial.println(humidity);
}"
V2_085,set_wait_read,243,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, LOW); // 关闭 relay2
  delay(500); // 等待 500 毫秒
  int humidity = analogRead(A2); // 读取 humidity_sensor
  "
V2_086,multi_read,315,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  int relay1_state = digitalRead(D1);
  Serial.println(""relay1 state: "" + String(relay1_state));
  
  delay(1000); // wait"
V2_087,multi_read,231,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(A0, INPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // turn on relay1
  delay(1000);
  Serial.println(digitalRead(A0));
  digitalWrite(D1, LOW); // t"
V2_088,multi_read,258,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // turn on relay1
  delay(1000);
  Serial.println(analogRead(A1)); // read temperature_sensor
  "
V2_089,multi_read,257,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(A2, INPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // turn on relay1
  delay(1000);
  int humidity = analogRead(A2);
  Serial.println(humidity);
  d"
V2_090,multi_read,292,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  int relay2_state = digitalRead(D2);
  Serial.println(""relay2 state: "" + String(relay2_state));
  
  int relay1_state = d"
V2_091,multi_read,264,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // turn on relay2
  delay(1000);
  int water_level = analogRead(A0);
  Serial.println(water_leve"
V2_092,multi_read,248,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // turn on relay2
  delay(100);
  int temp = analogRead(A1);
  Serial.println(temp);
  digitalWr"
V2_093,multi_read,256,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // turn on relay2
  delay(100);
  int humidity = analogRead(A2);
  Serial.println(humidity);
  d"
V2_094,multi_read,296,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  int water_level = analogRead(A0);
  Serial.println(""Water level: "" + String(water_level));
  
  digitalWrite(D1, HIGH); "
V2_095,multi_read,287,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  int water_level = analogRead(A0);
  Serial.println(""Water level: "" + String(water_level));
  
  int relay_state = digita"
V2_096,multi_read,262,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int water_level = analogRead(A0);
  Serial.println(""Water level: "" + String(water_level));
  
  delay(1000);

  int temperature = analogRead(A"
V2_097,multi_read,267,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int water_level = analogRead(A0);
  Serial.println(""Water level: "" + String(water_level));
  
  delay(100);

  int humidity = analogRead(A2);
"
V2_098,multi_read,282,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  int temp = analogRead(A1);
  Serial.println(""Temperature: "" + String(temp));
  
  digitalWrite(D1, HIGH); // turn on rel"
V2_099,multi_read,272,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  int temp = analogRead(A1);
  Serial.println(""Temperature: "" + String(temp));
  
  int relay2State = digitalRead(D2);
  S"
V2_100,multi_read,250,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int temp = analogRead(A1);
  Serial.println(""Temperature: "" + String(temp));
  
  delay(100);

  int water = analogRead(A0);
  Serial.println("
V2_101,multi_read,248,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int temp = analogRead(A1);
  Serial.println(""Temperature: "" + String(temp));
  
  delay(100);

  int humid = analogRead(A2);
  Serial.println("
V2_102,multi_read,286,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int humidity = analogRead(humidity_sensor);
  Serial.println(""Humidity: "" + String(humidity));
  
  digitalWrite(relay1, HIGH); // Turn on rel"
V2_103,multi_read,194,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  int humidity = analogRead(A2);
  Serial.println(humidity);
  digitalWrite(D2, HIGH); // relay2 on
  delay(1000);
}"
V2_104,multi_read,274,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int humidity = analogRead(humidity_sensor);
  Serial.println(""Humidity: "" + String(humidity));
  
  delay(1000);

  int water = analogRead(wat"
V2_105,multi_read,282,1,"void setup() {
  Serial.begin(115200);
}

void loop() {
  int humidity = analogRead(humidity_sensor);
  Serial.println(""Humidity: "" + String(humidity));
  
  delay(1000);

  int temperature = analogRe"
V2_106,pulse,154,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(50);
  digitalWrite(D1, LOW); // 关闭 relay1
}"
V2_107,pulse,155,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(100);
  digitalWrite(D1, LOW); // 关闭 relay1
}"
V2_108,pulse,155,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(200);
  digitalWrite(D1, LOW); // 关闭 relay1
}"
V2_109,pulse,183,1,"void setup() {
  pinMode(D1, OUTPUT);
}

void loop() {
  digitalWrite(D1, HIGH); // 打开 relay1
  delay(500);
  digitalWrite(D1, LOW); // 关闭 relay1
  while (true) {} // 停止
}"
V2_110,pulse,177,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(50);
  digitalWrite(D2, LOW); // 关闭 relay2
}"
V2_111,pulse,178,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(100);
  digitalWrite(D2, LOW); // 关闭 relay2
}"
V2_112,pulse,178,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(200);
  digitalWrite(D2, LOW); // 关闭 relay2
}"
V2_113,pulse,206,1,"void setup() {
  pinMode(D1, OUTPUT);
  pinMode(D2, OUTPUT);
}

void loop() {
  digitalWrite(D2, HIGH); // 打开 relay2
  delay(500);
  digitalWrite(D2, LOW); // 关闭 relay2
  while (true) {} // 停止
}"
